model_year,mpg,weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,18,3504,,corelation = ,-0.831740933,,,,,,,,,,corelation= ,0.579267133,,,,,,,,,,,,,,,,,
70,15,3693,,,,,,,,,,,,,,,,,,,,,,,,Row Labels,Average of Horsepower/Cylinders,,Row Labels,Average of acceleration,,Row Labels,Average of acceleration
72,13,4422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,19,2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,15,3892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,13,4098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,13,4294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,14,4077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,18,2933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,22,2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,21,2979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,26,2189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,22,2395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,28,2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,23,2506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,28,2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,27,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,13,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,14,3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,13,3988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,14,4042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,15,3777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,12,4952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,13,4464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,13,4363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,14,4237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,13,4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,12,4951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,13,3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,18,3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,16,3278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,18,2945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,18,3021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,23,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,26,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,11,4997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,12,4906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,13,4654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,12,4499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,18,2789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,20,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,21,2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,22,2379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,18,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,19,2310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,21,2472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,26,2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,15,4082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,16,4278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,29,1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,24,2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,20,2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,19,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,15,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,24,2660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,20,2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,11,3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,20,3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,21,2875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,19,2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,15,3336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,31,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,26,2451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,32,1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,25,2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,16,3781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,16,3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,18,3613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,16,4141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,13,4699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,14,4457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,14,4638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,14,4257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,29,2219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,26,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,26,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,31,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,32,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,28,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,24,2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,26,2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,24,2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,26,2391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,31,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,19,3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,18,3459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,15,3432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,15,3158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,16,4668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,15,4440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,16,4498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,14,4657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,17,3907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,16,3897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,15,3730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,18,3785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,21,3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,20,3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,13,3169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,29,2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,23,2639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,20,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,23,2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,24,2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,25,2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,24,2545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,18,2984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,29,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,19,3211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,23,2694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,23,2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,22,2945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,25,2671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,33,1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,28,2464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,25,2220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,25,2572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,26,2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,27,2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,17.5,4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,16,4190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,15.5,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,14.5,4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,22,3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,22,3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,24,3012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,22.5,3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,29,2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,24.5,2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,29,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,33,1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20,3651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,18,3574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,18.5,3645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,17.5,3193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,29.5,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,32,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,28,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,26.5,2565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20,3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,13,3940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,19,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,19,2930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,16.5,3820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,16.5,4380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,13,4055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,13,3870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,13,3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,31.5,2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,30,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,36,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,25.5,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,33.5,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,17.5,3880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,17,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,15.5,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,15,4295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,17.5,3520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,20.5,3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,19,3630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,18.5,3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,16,4220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,15.5,4165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,15.5,4325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,16,4335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,29,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,24.5,2740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,26,2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,25.5,2755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,30.5,2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,33.5,2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,30,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,30.5,2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,22,2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,21.5,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,21.5,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,43.1,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,36.1,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,32.8,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,39.4,2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,36.1,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,19.9,3365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,19.4,3735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20.2,3570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,19.2,3535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20.5,3155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20.2,2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,25.1,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20.5,3430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,19.4,3210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20.6,3380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20.8,3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,18.6,3620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,18.1,3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,19.2,3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,17.7,3445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,18.1,3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,17.5,4080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,30,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,27.5,2560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,27.2,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,30.9,2230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,21.1,2515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,23.2,2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,23.8,2855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,23.9,2405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20.3,2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,17,3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,21.6,2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,16.2,3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,31.5,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,29.5,2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,21.5,3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,19.8,2990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,22.3,2890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20.2,3265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20.6,3360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,17,3840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,17.6,3725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,16.5,3955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,18.2,3830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,16.9,4360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,15.5,4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,19.2,3605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,18.5,3940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,31.9,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,34.1,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,35.7,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,27.4,2670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,25.4,3530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,23,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,27.2,3190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,23.9,3420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,34.2,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,34.5,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,31.8,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,37.3,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,28.4,2670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,28.8,2595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,26.8,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,33.5,2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,41.5,2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,38.1,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,32.1,2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,37.2,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,28,2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,26.4,2870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,24.3,3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,19.1,3381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,34.3,2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,29.8,2711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,31.3,2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,37,2434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,32.2,2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,46.6,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,27.9,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,40.8,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,44.3,2085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,43.4,2335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,36.4,2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,30,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,44.6,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,40.9,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,33.8,2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,29.8,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,32.7,2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,23.7,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,35,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
